"id","YCoordinate","XCoordinate","elevation","slope","aspect","region","country","geometry","area","map_class","group"
"367","11.0390620120062","103.88810387659","6","0.00109829405328168","1.5707963267949","Kaôh Kong","Cambodia","points","1","Non Forest stable",3
"129","12.6827501488969","105.720962063078","107","0.00167944195034397","4.87464809670625","Krâchéh","Cambodia","points","1","Non Forest stable",3
"899","14.0845459355112","106.60281713994","92","0.00982373853023668","4.34517033332262","Stœng Trêng","Cambodia","points","1","Forest stable",3
"573","12.9631444943806","104.087789003461","7","0.000429814311089716","2.81406934105726","Siemréab","Cambodia","points","1","Non Forest stable",3
"60","12.1574790426178","103.655214917698","314","0.0241465400332229","1.30363452744713","Pouthisat","Cambodia","points","1","Forest stable",3
"860","13.6454482455876","104.287169036112","94","0.00533157476288689","1.72405684698922","Siemréab","Cambodia","points","1","Forest stable",3
"242","12.101300930181","104.58652189553","33","0.00214833001844756","0.326510229927742","Kâmpóng Chhnang","Cambodia","points","1","Non Forest stable",3
"756","13.4222321656287","103.951493265143","25","0.00080336022623836","4.18117552997802","Siemréab","Cambodia","points","1","Non Forest stable",3
"266","13.7177508628383","107.175233365873","305","0.0100854420731698","2.1711165936934","Rôtânôkiri","Cambodia","points","1","Non Forest stable",3
"806","11.5745824014946","104.155375398294","102","0.00889634256519423","1.07845612656295","Kâmpóng Spœ","Cambodia","points","1","Degradation",3
"654","13.6111388725805","106.441575436476","108","0.00339420519898794","0.0408578226171648","Stœng Trêng","Cambodia","points","1","Forest stable",3
"31","10.9458327137968","104.771032028956","8","0.00173401566398339","1.88907007608612","Takêv","Cambodia","points","1","Non Forest stable",3
"917","12.3014715320572","106.726152361381","167","0.0147348745788685","2.65461711113938","Môndól Kiri","Cambodia","points","1","Deforestation rubber",3
"328","13.0625702335039","105.731764772318","132","0.00333089438518284","4.63084609454681","Krâchéh","Cambodia","points","1","Forest stable",3
"441","11.521407022285","104.786801561773","18","0.000772668877675376","0.792216302499771","Kândal","Cambodia","points","1","Non Forest stable",3
"92","11.9928410401381","104.357338399943","96","0.0182239365526016","1.82663961259313","Kâmpóng Chhnang","Cambodia","points","1","Non Forest stable",3
"670","11.3865694821848","104.243612946703","69","0.00425797580097231","0.468934437758214","Kâmpóng Spœ","Cambodia","points","1","Degradation",3
"411","10.6392329858206","104.887028984534","4","0.00425384008406223","1.31282521316219","Takêv","Cambodia","points","1","Non Forest stable",3
"294","10.4381973831741","104.437668539208","2",NA,NA,"Kâmpôt","Cambodia","points","1","Non Forest stable",3
"130","13.6131516793504","105.223059751573","58","0.00403079001483391","4.98498958770511","Preah Vihéar","Cambodia","points","1","Non Forest stable",3
