"id","YCoordi0te","XCoordi0te","elevation","slope","aspect","region","country","geometry","area","map_class"
767,13.7974661,104.2395239,116,0.002343403,6.104611734,"Siemréab","Cambodia","points",1,"Deforestation crops"
875,12.63402919,103.9056081,13,0.000959576,6.138773765,"Pouthisat","Cambodia","points",1,"Deforestation other"
813,13.93524511,103.2463855,45,0.004846343,2.93969415,"Bântéay Méanchey","Cambodia","points",1,"Deforestation other"
73,14.14254773,103.2765144,50,0.003366133,0.97133359,"Otdar Mean Chey","Cambodia","points",1,"Deforestation other"
438,12.25318395,106.7435804,140,0.00701882,2.237585519,"Krâchéh","Cambodia","points",1,"Deforestation rubber"
45,12.55187846,107.4938483,544,0.017622541,0.516069707,"Môndól Kiri","Cambodia","points",1,"Deforestation rubber"
515,13.18972385,105.0173801,93,0.014485021,4.533509798,"Preah Vihéar","Cambodia","points",1,"Deforestation rubber"
898,13.25006634,105.0039444,108,0.012401495,5.503272441,"Preah Vihéar","Cambodia","points",1,"Deforestation rubber"
137,10.67412831,103.6144371,49,0.005591016,1.375453504,"Krong Preah Sihanouk","Cambodia","points",1,"Degradation"
693,10.75442178,103.7490862,36,0.016834132,5.423485785,"Krong Preah Sihanouk","Cambodia","points",1,"Degradation"
95,11.49131784,104.1068729,192,0.07204034,0.719833135,"Kâmpóng Spœ","Cambodia","points",1,"Degradation"
551,11.50756967,104.1521225,119,0.013783567,3.031638215,"Kâmpóng Spœ","Cambodia","points",1,"Degradation"
445,11.52867595,104.1406552,135,0.018868407,1.294108853,"Kâmpóng Spœ","Cambodia","points",1,"Degradation"
138,13.0980001,106.2175076,65,0.005492209,2.523661846,"Krâchéh","Cambodia","points",1,"Degradation"
915,12.35955417,107.3397003,844,0.014012123,0.289506355,"Môndól Kiri","Cambodia","points",1,"Enhancement"
439,13.03065149,106.9701058,145,0.004439365,1.059950752,"Môndól Kiri","Cambodia","points",1,"Enhancement"
526,13.12309203,104.7031092,41,0.002170483,3.141592654,"Kâmpóng Thum","Cambodia","points",1,"Enhancement"
491,13.27956998,103.7034579,8,0.000276898,4.71238898,"Siemréab","Cambodia","points",1,"Enhancement"
923,13.99705588,105.5854361,116,0.00776574,2.394489043,"Preah Vihéar","Cambodia","points",1,"Enhancement"
233,11.73005506,104.2267725,255,0.126645273,4.384807139,"Kâmpóng Spœ","Cambodia","points",1,"Forest stable"
377,12.62048171,104.7029333,12,0.000387141,3.935861571,"Kâmpóng Thum","Cambodia","points",1,"Forest stable"
18,12.99867608,106.386736,64,0.00179324,4.154334206,"Krâchéh","Cambodia","points",1,"Forest stable"
846,13.2486094,105.9921189,56,0.007345831,3.697415624,"Stœng Trêng","Cambodia","points",1,"Forest stable"
609,13.58236031,105.8936568,74,0.010864049,0.742644998,"Stœng Trêng","Cambodia","points",1,"Forest stable"
937,13.84893612,103.7586769,43,0.00146574,2.753169629,"Siemréab","Cambodia","points",1,"Forest stable"
378,13.07064185,104.4682567,18,0.001558278,3.812124253,"Siemréab","Cambodia","points",1,"Ma0gement"
791,13.3156362,104.4510808,49,0.005162294,3.195263907,"Siemréab","Cambodia","points",1,"Ma0gement"
