"id","YCoordinate","XCoordinate","elevation","slope","aspect","region","country","geometry","area","map_class"
480,11.6173092853459,104.360392858595,87,0.00657234176037421,2.70966920333226,"Kâmpóng Spœ","Cambodia","points",1,"Deforestation crops"
645,12.1879951324059,106.465845553532,72,0.00140498631532082,1.76512262422061,"Krâchéh","Cambodia","points",1,"Deforestation crops"
393,13.5760884789017,102.569628350377,48,0,0,"Bântéay Méanchey","Cambodia","points",1,"Deforestation crops"
498,10.5585209586376,103.58179697531,80,0,0,"Krong Preah Sihanouk","Cambodia","points",1,"Deforestation other"
770,12.1562445150173,105.589551540859,14,0.000773577722440555,5.48981071912362,"Tbong Khmum","Cambodia","points",1,"Deforestation other"
510,12.8683063119914,103.820736010274,7,0.00058100314970464,3.93635498289821,"Pouthisat","Cambodia","points",1,"Deforestation other"
70,14.0501638876602,106.944412369432,110,0.0202081338239644,2.81267255996353,"Rôtânôkiri","Cambodia","points",1,"Deforestation other"
490,12.2382882422544,106.692928119796,134,0.0031072950255719,2.73077774713575,"Krâchéh","Cambodia","points",1,"Deforestation rubber"
403,12.3006040449827,106.692544128414,144,0.0101267964619186,5.27785489632483,"Môndól Kiri","Cambodia","points",1,"Deforestation rubber"
836,12.7371923165886,105.349925752059,64,0.00579996963989753,2.11128138623226,"Kâmpóng Thum","Cambodia","points",1,"Deforestation rubber"
213,13.201037519383,106.517239219346,155,0.0149723662675041,4.00177526879561,"Môndól Kiri","Cambodia","points",1,"Deforestation rubber"
300,13.2557770254769,105.084692756777,105,0.0126070236052137,3.73596595924292,"Preah Vihéar","Cambodia","points",1,"Deforestation rubber"
531,13.4572809062849,104.929958352447,98,0.00929667221476395,5.91741898046078,"Preah Vihéar","Cambodia","points",1,"Deforestation rubber"
432,13.8202309988169,105.486499016472,115,0.00252579924483848,0.719842961484314,"Preah Vihéar","Cambodia","points",1,"Deforestation rubber"
44,11.4926499492574,104.123954643037,146,0.0189351625453883,1.41254288577425,"Kâmpóng Spœ","Cambodia","points",1,"Degradation"
753,11.4977489833741,104.207828921275,77,0.00421569033658446,6.01919013775374,"Kâmpóng Spœ","Cambodia","points",1,"Degradation"
665,11.5123885453423,104.16797010747,117,0.0131490367077648,2.54151722756667,"Kâmpóng Spœ","Cambodia","points",1,"Degradation"
916,12.3940866431445,107.345518349527,860,0.0238705106947481,0.150813756060972,"Môndól Kiri","Cambodia","points",1,"Degradation"
762,12.8900569485173,104.375885308063,11,0.0010497049303399,5.11051946610737,"Kâmpóng Thum","Cambodia","points",1,"Enhancement"
209,11.968320577405,102.929540957517,763,0.058070167279488,3.25079915741122,"Kaôh Kong","Cambodia","points",1,"Forest stable"
796,12.0382634616068,103.414072371477,1001,0.0519370713846948,5.58687444799634,"Kaôh Kong","Cambodia","points",1,"Forest stable"
583,12.2510814083055,105.720244333575,17,0.00261043165913825,6.12404793687087,"Tbong Khmum","Cambodia","points",1,"Forest stable"
556,13.0067878730462,106.805726321269,166,0.00702937704431495,3.31959170679321,"Môndól Kiri","Cambodia","points",1,"Forest stable"
478,13.2414869175203,104.963114321702,91,0.012289101495315,1.70364419946732,"Preah Vihéar","Cambodia","points",1,"Forest stable"
562,14.2285576418491,106.065104236897,111,0.00191941594060969,6.13782576102867,"Stœng Trêng","Cambodia","points",1,"Forest stable"
33,12.6721134320889,105.319197871162,53,0.0032616727856486,4.23721108435195,"Kâmpóng Thum","Cambodia","points",1,"Management"
325,13.4143694707407,105.832446296859,70,0.00333565251275648,4.63096266985613,"Stœng Trêng","Cambodia","points",1,"Management"
934,14.0752843451731,107.115191046223,111,0.00606956909643225,1.98482044972402,"Rôtânôkiri","Cambodia","points",1,"Management"
59,12.4258251317296,106.080678091466,22,0.00443138572926225,5.22424409063136,"Krâchéh","Cambodia","points",1,"Non Forest stable"
385,12.84554272855,102.891037137007,68,0.00179246497689621,2.12912092762376,"Batdâmbâng","Cambodia","points",1,"Non Forest stable"
191,13.7130677930406,104.37636026478,114,0.00504366698059066,5.52515410414628,"Siemréab","Cambodia","points",1,"Non Forest stable"
285,13.9468548887813,103.909347434058,92,0.00545701213230488,4.58777334323269,"Siemréab","Cambodia","points",1,"Non Forest stable"
