"id","YCoordi0te","XCoordi0te","elevation","slope","aspect","region","country","geometry","area","map_class"
484,12.88358431,102.7849402,204,0.111286582,0.492150932,"Batdâmbâng","Cambodia","points",1,"Deforestation crops"
220,13.66880053,104.7256671,105,0.012412459,5.518030487,"Preah Vihéar","Cambodia","points",1,"Deforestation crops"
376,12.54499742,106.6401848,97,0.001663078,5.132480508,"Môndól Kiri","Cambodia","points",1,"Deforestation other"
275,13.40819597,104.8358797,65,0.006204157,5.487336903,"Preah Vihéar","Cambodia","points",1,"Deforestation other"
207,13.45355117,105.5411055,138,0.010861445,2.399208913,"Preah Vihéar","Cambodia","points",1,"Deforestation other"
659,13.83837592,106.0766828,100,0.003098387,3.413672559,"Stœng Trêng","Cambodia","points",1,"Deforestation other"
619,14.31753763,103.8400321,78,0.005036518,3.224523225,"Otdar Mean Chey","Cambodia","points",1,"Deforestation other"
810,12.54677319,105.4186435,69,0.006288186,4.45053342,"Kâmpóng Thum","Cambodia","points",1,"Deforestation rubber"
574,13.501532,104.9178703,98,0.004485684,2.475566413,"Preah Vihéar","Cambodia","points",1,"Deforestation rubber"
611,13.85944315,107.1479625,205,0.010171383,1.758609665,"Rôtânôkiri","Cambodia","points",1,"Deforestation rubber"
333,10.74868848,103.7437733,31,0.019349517,4.442756913,"Krong Preah Sihanouk","Cambodia","points",1,"Degradation"
237,11.478892,104.1169697,157,0.038289657,1.268769453,"Kâmpóng Spœ","Cambodia","points",1,"Degradation"
97,11.58287231,104.1272462,129,0.014919007,0.857100084,"Kâmpóng Spœ","Cambodia","points",1,"Degradation"
539,10.95519361,103.2477298,8,0.009707776,4.032373001,"Kaôh Kong","Cambodia","points",1,"Enhancement"
56,11.75249276,104.3915618,87,0.008564812,0.656857212,"Kâmpóng Spœ","Cambodia","points",1,"Enhancement"
199,13.02599566,103.6273564,6,0.00070472,1.764500992,"Batdâmbâng","Cambodia","points",1,"Enhancement"
529,13.2614375,103.7496949,8,0.000705365,1.377271245,"Siemréab","Cambodia","points",1,"Enhancement"
514,11.05496968,104.3581064,152,0.101350548,0.67347286,"Kâmpôt","Cambodia","points",1,"Forest stable"
623,12.39599618,104.5455043,10,0.000614941,1.113862972,"Kâmpóng Chh0ng","Cambodia","points",1,"Forest stable"
676,13.24084853,106.7046517,158,0.015509086,0.384222323,"Môndól Kiri","Cambodia","points",1,"Forest stable"
320,14.45063626,106.2939422,188,0,0,"Stœng Trêng","Cambodia","points",1,"Forest stable"
577,13.17757121,106.6700739,196,0.007825424,4.851516287,"Môndól Kiri","Cambodia","points",1,"Ma0gement"
679,13.84369143,103.7115906,42,0.002716939,3.938375066,"Siemréab","Cambodia","points",1,"Ma0gement"
582,10.7586058,105.0273093,3,0.000433264,1.252340186,"Takêv","Cambodia","points",1,"Non Forest stable"
835,12.39439181,107.1676387,716,0.019475303,4.31173647,"Môndól Kiri","Cambodia","points",1,"Non Forest stable"
837,12.92061663,105.1072089,27,0.007502739,2.744276389,"Kâmpóng Thum","Cambodia","points",1,"Non Forest stable"
816,13.68137238,103.9423972,107,0.068127375,4.426184419,"Siemréab","Cambodia","points",1,"Non Forest stable"
936,13.78262396,105.4037933,93,0.011865634,3.462771529,"Preah Vihéar","Cambodia","points",1,"Non Forest stable"
