"id","YCoordinate","XCoordinate","elevation","slope","aspect","region","country","geometry","area","map_class"
37,13.7971853922024,103.562683233522,25,0.000609462433502519,2.66886190143132,"Siemréab","Cambodia","points",1,"Deforestation crops"
931,12.0493886356263,105.060633284987,19,0.00631298272843563,2.56446538733917,"Kâmpóng Cham","Cambodia","points",1,"Deforestation other"
486,11.4941291177792,104.101148851105,208,0.0234526156365361,1.27140165819785,"Kâmpóng Spœ","Cambodia","points",1,"Degradation"
728,13.0290033918499,104.915662037213,33,0.00252218790766209,2.42338425640729,"Kâmpóng Thum","Cambodia","points",1,"Degradation"
193,10.9558654206881,103.720900489857,8,0.00331017770093202,4.29014145465575,"Kaôh Kong","Cambodia","points",1,"Enhancement"
907,11.1474863217939,103.457922966235,5,0.00108524294633431,6.28318530717959,"Kaôh Kong","Cambodia","points",1,"Enhancement"
234,13.0872827343793,106.390959006707,82,0.00363785093080841,4.20629140372754,"Môndól Kiri","Cambodia","points",1,"Enhancement"
52,13.412796942621,105.081004495745,65,0.0118376137815357,2.62781882025036,"Preah Vihéar","Cambodia","points",1,"Enhancement"
418,12.4202059087999,104.70172061409,10,0.000871184411183691,1.25410146919023,"Kâmpóng Chhnang","Cambodia","points",1,"Forest stable"
132,12.7499193513566,106.250233457221,72,0.00430948892146445,4.07128052942694,"Krâchéh","Cambodia","points",1,"Forest stable"
410,13.4627323397256,105.338020565483,64,0.00660607590184049,3.84941121870595,"Preah Vihéar","Cambodia","points",1,"Forest stable"
640,13.5759149488834,105.619348477876,119,0.0149573195127762,0.835114216411499,"Stœng Trêng","Cambodia","points",1,"Forest stable"
253,13.9810874477572,105.438137631123,115,0.00217048333637999,1.55431223447522e-15,"Preah Vihéar","Cambodia","points",1,"Forest stable"
36,14.131559695958,105.276226012665,111,0.00129010002293248,5.95416474750206,"Preah Vihéar","Cambodia","points",1,"Forest stable"
77,14.0381578879962,107.068730583348,178,0.0153968200991107,0.340280510327996,"Rôtânôkiri","Cambodia","points",1,"Forest stable"
777,10.7302627848357,103.892225132681,22,0.0443663770337952,4.13366706144714,"Krong Preah Sihanouk","Cambodia","points",1,"Non Forest stable"
214,12.3795392232332,104.374532204732,39,0.00817561797358906,2.25300363342601,"Kâmpóng Chhnang","Cambodia","points",1,"Non Forest stable"
555,13.5769224870405,106.692594632924,116,0.00228336398167645,4.95232546529097,"Rôtânôkiri","Cambodia","points",1,"Non Forest stable"
720,14.1609794409928,103.972669660508,53,0.0039135875135748,5.6350940791828,"Otdar Mean Chey","Cambodia","points",1,"Non Forest stable"
